,no_bhk,price,area,cons_stats
806,0,3141000,1620,0
807,0,3141000,1620,0
808,2 ,3850000,960,3
809,2 ,5500000,1091,1
810,3 ,15000000,2385,3
811,3 ,9000000,1150,1
812,2 ,10200000,1350,1
813,5 ,14500000,3100,3
814,8 ,20000000,4160,1
815,3 ,9000000,1100,1
816,3 ,8700000,1500,1
817,4 ,8000000,1300,1
818,2 ,3850000,960,3
819,2 ,5300000,1060,3
820,2 ,5600000,1055,1
821,2 ,3100000,1100,3
822,4 ,11000000,1250,3
823,3 ,7900000,1490,1
824,2 ,6000000,950,1
825,5 ,55000000,3500,1
826,2 ,4500000,1065,3
827,4 ,11000000,2600,3
828,3 ,8000000,1392,3
829,3 ,6450000,1700,3
830,2 ,4500000,1100,1
831,2 ,6125000,1250,3
832,3 ,6200000,1500,3
833,3 ,8500000,1690,1
834,3 ,37000000,3426,1
835,3 ,8600000,1385,3
836,2 ,8700000,1350,1
837,2 ,8700000,1200,1
838,2 ,8700000,1200,1
839,3 ,6800000,1495,1
840,3 ,8600000,1360,3
841,2 ,9600000,1250,1
842,4 ,23900000,3382,1
843,2 ,6700000,1100,1
844,2 ,8900000,1002,1
845,3 ,7500000,1460,1
846,2 ,6600000,1200,3
847,3 ,6200000,1500,3
848,2 ,6000000,1350,3
849,3 ,11800000,1595,3
850,2 ,9900000,1235,1
851,8 ,28900000,3800,1
852,3 ,7700000,1600,3
853,2 ,18000000,1000,1
854,4 ,19000000,2500,1
855,3 ,12000000,2551,3
856,2 ,4300000,950,1
857,3 ,7300000,1640,1
858,4 ,9300000,1350,3
859,2 ,3749000,940,1
860,5 ,41000000,4000,1
861,7 ,17000000,5421,1
862,4 ,20000000,2000,3
863,2 ,5300000,945,1
864,2 ,3000000,1100,3
865,2 ,6500000,1000,1
866,2 ,3800000,800,1
867,3 ,40000000,1575,1
868,3 ,9100000,1400,3
869,3 ,13200000,1695,3
870,3 ,8500000,1300,1
871,3 ,6800000,1510,1
872,3 ,8499000,1300,1
873,3 ,16500000,1680,1
874,3 ,8500000,1550,1
875,3 ,10700000,1850,1
876,3 ,10700000,1650,1
877,2 ,6440000,1100,1
878,3 ,14500000,2211,3
879,2 ,8200000,1400,1
880,3 ,9690000,1700,3
881,3 ,10800000,1500,1
882,3 ,9500000,1980,1
883,2 ,7650000,1213,1
884,2 ,9600000,1380,3
885,2 ,10500000,1575,1
886,3 ,9800000,1500,1
887,3 ,10100000,1620,1
888,3 ,31000000,2676,1
889,2 ,5700000,842,1
890,3 ,11500000,2440,3
891,2 ,6600000,1050,1
892,6 ,68500000,5000,1
893,3 ,8700000,1368,1
894,2 ,6200000,1252,1
895,10 ,25000000,6000,1
896,3 ,10000000,1500,3
897,4 ,40000000,3500,1
898,3 ,6800000,1509,1
899,3 ,13899999,2200,3
900,3 ,15900000,1850,3
901,3 ,16000000,2021,1
902,2 ,4000000,843,1
903,2 ,6800000,1320,3
904,3 ,11000000,2700,1
905,2 ,3100000,1200,3
906,3 ,16000000,1976,3
907,2 ,5400000,1200,1
908,3 ,6000000,1900,3
909,2 ,8000000,1260,3
910,2 ,4493000,1045,1
911,2 ,4700000,1035,3
912,2 ,6400000,1080,1
913,2 ,7200000,1215,3
914,3 ,16800000,2100,1
915,2 ,11000000,1198,1
916,2 ,7500000,1271,1
917,2 ,5500000,800,1
918,2 ,6950000,1130,3
919,2 ,4200000,990,1
920,2 ,3359000,840,3
921,3 ,38500000,4302,1
922,3 ,13500000,1600,1
923,4 ,23000000,3840,3
924,3 ,14800000,2100,1
925,2 ,6900000,1315,3
926,4 ,12000000,3000,1
927,2 ,17500000,1798,1
928,2 ,12500000,1297,1
929,3 ,15500000,2650,3
930,2 ,5500000,1140,1
931,2 ,5100000,1020,1
932,3 ,30000000,2000,1
933,3 ,15000000,1100,1
934,4 ,4800000,1000,1
935,2 ,4800000,1000,1
936,2 ,4800000,1000,1
937,2 ,6550000,1260,3
938,3 ,9000000,1760,1
939,2 ,4900000,1300,1
940,3 ,8000000,1250,1
941,3 ,17800000,2100,3
942,2 ,4600000,1000,1
943,3 ,11200000,1750,1
944,2 ,5500000,1350,3
945,2 ,7000000,1175,1
946,3 ,9000000,1686,1
947,3 ,7000000,4000,1
948,3 ,3800000,1210,1
949,4 ,24000000,5180,1
950,2 ,8900000,1100,1
951,5 ,100000000,6000,1
952,3 ,5500000,1314,1
953,3 ,15000000,1100,1
954,3 ,18000000,1850,1
955,3 ,8500000,1680,1
956,2 ,5900000,928,1
957,3 ,16500000,1680,1
958,3 ,8500000,1550,1
959,3 ,10700000,1850,1
960,3 ,10700000,1650,1
961,2 ,6440000,1100,1
962,3 ,14500000,2211,3
963,2 ,8200000,1400,1
964,2 ,7200000,1050,1
965,2 ,6208000,1267,1
966,2 ,7318000,1220,3
967,2 ,6500000,1000,1
968,2 ,3800000,800,1
969,3 ,40000000,1575,1
970,3 ,9100000,1400,3
971,3 ,13200000,1695,3
972,3 ,8500000,1300,1
973,3 ,6800000,1510,1
974,3 ,8499000,1300,1
975,3 ,6800000,1550,1
976,2 ,7000000,1000,1
977,2 ,5500000,1140,1
978,2 ,5100000,1020,1
979,3 ,30000000,2000,1
980,3 ,6200000,1500,3
981,3 ,8500000,1690,1
982,2 ,11500000,2300,3
983,3 ,10800000,1500,1
984,3 ,9500000,1980,1
985,2 ,7650000,1213,1
986,2 ,9600000,1380,3
987,2 ,10500000,1575,1
988,3 ,9800000,1500,1
989,3 ,10100000,1620,1
990,2 ,3100000,800,1
991,2 ,6318000,1215,1
992,3 ,9200000,1470,1
993,3 ,4000000,1050,1
994,2 ,5999000,1646,1
995,4 ,19000000,3200,1
996,2 ,8700000,1350,1
997,3 ,11500000,2440,3
998,2 ,6600000,1050,1
999,6 ,68500000,5000,1
1000,3 ,11200000,1750,1
1001,2 ,5500000,1350,3
1002,5 ,12000000,2620,3
1003,3 ,9000000,1686,1
1004,3 ,7000000,4000,1
1005,3 ,3800000,1210,1
1006,2 ,8600000,1250,3
