,no_bhk,price,area,cons_stats
1704,Residential Plot,2281000,1521 ,New
1705,Residential Plot,2281000,1521 ,New
1706,Residential Plot,2389000,1593 ,New
1707,Residential Plot,3240000,2160 ,New
1708,Residential Plot,2389000,1593 ,New
1709,Residential Plot,2254000,1503 ,New
1710,Residential Plot,3240000,2160 ,New
1711,Residential Plot,4050000,2700 ,New
1712,Residential Plot,2470000,1647 ,New
1713,Residential Plot,2254000,1503 ,New
1714,Residential Plot,2173000,1449 ,New
1715,Residential Plot,2970000,1980 ,New
1716,Residential Plot,4050000,2700 ,New
1717,Residential Plot,2835000,1890 ,New
1718,Residential Plot,2470000,1647 ,New
1719,Residential Plot,3375000,2250 ,New
1720,Residential Plot,2173000,1449 ,New
1721,Residential Plot,3604000,2403 ,New
1722,Residential Plot,2970000,1980 ,New
1723,Residential Plot,2241000,1494 ,New
1724,Residential Plot,2835000,1890 ,New
1725,Residential Plot,3375000,2250 ,New
1726,Residential Plot,3604000,2403 ,New
1727,Residential Plot,2241000,1494 ,New
1728,Residential Plot,10500000,6300 ,New
1729,Residential Plot,9001000,5400 ,New
1730,Residential Plot,10500000,6300 ,New
1731,Residential Plot,10500000,6300 ,New
1732,Residential Plot,9001000,5400 ,New
1733,Residential Plot,9001000,5400 ,New
1734,Residential Plot,6601000,3960 ,New
1735,Residential Plot,6601000,3960 ,New
1736,Residential Plot,4950000,2970 ,New
1737,Residential Plot,4950000,2970 ,New
1738,Residential Plot,15000000,9000 ,New
1739,Residential Plot,15000000,9000 ,New
1740,3 ,9300000,1450 ,Ready to move
1741,Residential Plot,400000,1200 ,Resale
1742,Residential Plot,336000,1080 ,Resale
1743,Residential Plot,2400000,200 ,New
1744,3 ,12100000,1719 ,Under Construction
1745,3 ,11500000,1629 ,Under Construction
1746,3 ,7941000,1431 ,Under Construction
1747,2 ,6500000,1075 ,Ready to move
1748,2 ,5700000,1050 ,Ready to move
1749,2 ,5700000,1050 ,Ready to move
1750,3 ,12100000,1664 ,Under Construction
1751,3 ,12100000,1665 ,Under Construction
1752,2 ,8514000,1531 ,Under Construction
1753,2 ,6981999,1242 ,Under Construction
1754,3 ,12400000,1881 ,Under Construction
1755,3 ,8842000,1593 ,Under Construction
1756,3 ,8509000,1530 ,Under Construction
1757,3 ,11500000,1628 ,Under Construction
1758,3 ,8735000,1628 ,Under Construction
1759,2 ,6814000,1108 ,Under Construction
1760,3 ,11500000,1628 ,Under Construction
1761,3 ,8735000,1628 ,Under Construction
1762,Residential Plot,2561000,1647 ,New
1763,Residential Plot,1109000,999 ,New
1764,Residential Plot,3999000,1800 ,New
1765,Residential Plot,1738000,1647 ,New
1766,Residential Plot,2227000,1485 ,New
1767,Residential Plot,4400000,1980 ,New
1768,Residential Plot,22200000,1485 ,New
1769,Residential Plot,1567000,1485 ,New
1770,Residential Plot,1972000,1224 ,New
1771,Residential Plot,1567000,1485 ,New
1772,Residential Plot,2227000,1485 ,New
1773,3 ,13799999,1877 ,Under Construction
1774,3 ,13799999,1605 ,Under Construction
1775,3 ,18000000,2540 ,Under Construction
1776,3 ,13799999,1877 ,Under Construction
1777,3 ,13899999,1605 ,Under Construction
1778,3 ,18900000,2656 ,Under Construction
1779,3 ,14600000,2064 ,Under Construction
1780,3 ,13799999,1958 ,Under Construction
1781,3 ,18000000,2540 ,Under Construction
1782,3 ,12000000,2100 ,Ready to move
1783,2 ,7000000,1200 ,Ready to move
1784,3 ,8500000,1463 ,Under Construction
1785,3 ,10900000,1880 ,Under Construction
1786,3 ,10700000,1459 ,Under Construction
1787,3 ,10700000,1458 ,Under Construction
1788,3 ,12100000,1718 ,Under Construction
1789,Residential Plot,4590000,2754 ,New
1790,Residential Plot,3030000,1818 ,New
1791,Residential Plot,2775000,1665 ,New
1792,3 ,6450000,1745 ,Under Construction
1793,3 ,6500000,1640 ,Under Construction
1794,3 ,6584000,1658 ,Under Construction
1795,3 ,6528000,1650 ,Under Construction
1796,Residential Plot,2599000,1800 ,New
1797,Residential Plot,2599000,1800 ,New
1798,Residential Plot,2313000,1602 ,New
1799,Residential Plot,2313000,1602 ,New
1800,Residential Plot,2599000,1800 ,New
1801,Residential Plot,2599000,1800 ,New
1802,Residential Plot,2313000,1602 ,New
1803,Residential Plot,2313000,1602 ,New
1804,Residential Plot,2170000,1503 ,New
1805,Residential Plot,2170000,1503 ,New
1806,Residential Plot,2079000,1440 ,New
1807,Residential Plot,2079000,1440 ,New
1808,Residential Plot,2378000,1647 ,New
1809,Residential Plot,2378000,1647 ,New
1810,Residential Plot,1948999,1350 ,New
1811,Residential Plot,1948999,1350 ,New
1812,Residential Plot,1754000,1215 ,New
1813,Residential Plot,1754000,1215 ,New
1814,Residential Plot,3249000,2250 ,New
1815,Residential Plot,3249000,2250 ,New
1816,Residential Plot,3469000,2403 ,New
1817,Residential Plot,3469000,2403 ,New
1818,Residential Plot,2495000,1728 ,New
1819,Residential Plot,2495000,1728 ,New
1820,2 ,5893000,1179 ,Ready to move
1821,3 ,7378000,1476 ,Ready to move
1822,3 ,6928000,1386 ,Ready to move
1823,3 ,7108000,1422 ,Ready to move
1824,3 ,6793000,1359 ,Ready to move
1825,3 ,8143000,1629 ,Ready to move
1826,3 ,7153000,1431 ,Ready to move
1827,2 ,5197000,1155 ,Under Construction
1828,2 ,5197000,1155 ,Under Construction
1829,2 ,5197000,1155 ,Under Construction
1830,3 ,9190000,1718 ,Under Construction
1831,3 ,8755000,1631 ,Under Construction
1832,3 ,9374000,1530 ,Under Construction
1833,2 ,6984999,1243 ,Under Construction
1834,3 ,9695000,1719 ,Under Construction
1835,3 ,8300000,1575 ,Under Construction
1836,1 ,3000000,617 ,Under Construction
1837,2 ,7500000,1312 ,Under Construction
1838,3 ,10000000,1843 ,Under Construction
1839,3 ,12000000,1590 ,Under Construction
1840,2 ,6000000,1100 ,Under Construction
1841,2 ,22799999,2688 ,Under Construction
1842,2 ,2100000,700 ,Ready to move
1843,2 ,2100000,700 ,Ready to move
1844,2 ,7500000,1150 ,Ready to move
1845,2 ,6400000,1050 ,Ready to move
1846,2 ,6300000,1100 ,Ready to move
1847,3 ,11000000,1400 ,Ready to move
1848,1 ,5000000,450 ,Ready to move
1849,Residential Plot,4400000,1800 ,New
1850,2 ,6500000,1120 ,Ready to move
1851,2 ,3750000,800 ,Ready to move
1852,2 ,28000000,2700 ,Ready to move
1853,3 ,8000000,1650 ,Ready to move
1854,2 ,4500000,1150 ,Ready to move
1855,1 ,4200000,1000 ,Ready to move
1856,2 ,7904000,1520 ,Under Construction
1857,5 ,19000000,4300 ,Ready to move
1858,2 ,5500000,1080 ,Ready to move
1859,3 ,8692000,2350 ,Under Construction
1860,3 ,7398000,2000 ,Under Construction
1861,2 ,4716000,1275 ,Under Construction
1862,3 ,9709000,2625 ,Under Construction
1863,2 ,4383000,1185 ,Under Construction
1864,3 ,5733000,1550 ,Under Construction
1865,2 ,3883000,1050 ,Under Construction
1866,3 ,6584000,1780 ,Under Construction
1867,2 ,4808000,1300 ,Under Construction
1868,2 ,6300000,1000 ,Ready to move
1869,3 ,12000000,1450 ,Ready to move
1870,3 ,7500000,1485 ,Ready to move
1871,2 ,7200000,1156 ,Ready to move
1872,Residential Plot,2114000,1269 ,New
1873,Residential Plot,1844000,1107 ,New
1874,Residential Plot,50000000,2700 ,New
1875,2 ,5900000,1311 ,Ready to move
1876,2 ,5900000,1311 ,Ready to move
1877,1 ,3200000,700 ,Ready to move
1878,3 ,9800000,1500 ,Ready to move
1879,2 ,4600000,950 ,Ready to move
1880,Residential Plot,2599000,1800 ,New
1881,Residential Plot,2313000,1602 ,New
1882,Residential Plot,2170000,1503 ,New
1883,Residential Plot,2079000,1440 ,New
1884,Residential Plot,2378000,1647 ,New
1885,Residential Plot,1948999,1350 ,New
1886,Residential Plot,1754000,1215 ,New
1887,Residential Plot,3249000,2250 ,New
1888,Residential Plot,3469000,2403 ,New
1889,Residential Plot,2495000,1728 ,New
1890,5 ,56000000,1800 ,Ready to move
1891,7 ,27000000,5500 ,Ready to move
1892,3 ,9198000,1350 ,Ready to move
1893,2 ,8000000,1359 ,Ready to move
1894,2 ,6300000,1160 ,Ready to move
1895,4 ,68100000,5450 ,Under Construction
1896,4 ,68100000,5450 ,Under Construction
1897,4 ,82500000,6605 ,Under Construction
1898,4 ,82500000,6605 ,Under Construction
1899,4 ,68100000,5450 ,Under Construction
1900,4 ,68100000,5450 ,Under Construction
1901,4 ,82500000,6605 ,Under Construction
1902,4 ,82500000,6605 ,Under Construction
1903,2 ,4600000,1088 ,Under Construction
1904,3 ,17000000,2110 ,Ready to move
1905,2 ,4135000,1088 ,Under Construction
1906,2 ,8300000,1255 ,Ready to move
1907,2 ,8300000,1255 ,Ready to move
1908,2 ,4500000,1050 ,Under Construction
1909,2 ,4600000,1088 ,Under Construction
1910,3 ,12500000,2125 ,Ready to move
1911,2 ,4150000,1088 ,Under Construction
1912,3 ,12800000,1980 ,Under Construction
1913,3 ,7800000,1255 ,Ready to move
1914,3 ,10300000,1550 ,Ready to move
1915,2 ,8275000,1235 ,Ready to move
1916,3 ,12700000,1825 ,Under Construction
1917,2 ,4000000,1055 ,Under Construction
1918,3 ,8850000,1425 ,Ready to move
1919,2 ,7250000,1170 ,Ready to move
1920,3 ,12700000,1960 ,Under Construction
1921,2 ,8540000,1220 ,Under Construction
1922,2 ,7250000,1170 ,Ready to move
1923,3 ,6600000,1650 ,Under Construction
1924,3 ,13899999,2150 ,Under Construction
1925,2 ,9170000,1310 ,Under Construction
1926,3 ,14000000,2175 ,Ready to move
1927,3 ,14900000,2300 ,Under Construction
1928,3 ,11000000,1585 ,Under Construction
1929,4 ,12000000,2400 ,Under Construction
1930,4 ,12000000,2500 ,Under Construction
1931,1 ,3200000,265 ,Ready to move
1932,1 ,3200000,265 ,Ready to move
1933,1 ,3200000,265 ,Ready to move
1934,1 ,3200000,265 ,Ready to move
1935,2 ,6350000,1100 ,Ready to move
1936,2 ,6500000,1110 ,Ready to move
1937,2 ,6700000,1100 ,Ready to move
1938,2 ,6800000,1100 ,Ready to move
1939,2 ,5500000,1000 ,Ready to move
1940,Residential Plot,1102000,1323 ,New
1941,2 ,5453000,1134 ,Ready to move
1942,2 ,5400000,1134 ,Ready to move
1943,3 ,9000000,1450 ,Ready to move
1944,2 ,7300000,1275 ,Ready to move
1945,2 ,6000000,1180 ,Ready to move
1946,2 ,6300000,1220 ,Ready to move
1947,2 ,5500000,1140 ,Ready to move
1948,3 ,7100000,1520 ,Ready to move
1949,2 ,5443000,1134 ,Ready to move
1950,3 ,8900000,1600 ,Ready to move
1951,2 ,3800000,1100 ,Ready to move
1952,Residential Plot,42000000,3150 ,New
1953,Residential Plot,3915000,2349 ,New
1954,Residential Plot,3915000,2349 ,New
1955,Residential Plot,3915000,2349 ,New
1956,Residential Plot,3690000,2214 ,New
1957,Residential Plot,3329999,1998 ,New
1958,Residential Plot,4170000,2502 ,New
1959,Residential Plot,3690000,2214 ,New
1960,Residential Plot,3329999,1998 ,New
1961,Residential Plot,3690000,2214 ,New
1962,Residential Plot,4170000,2502 ,New
1963,Residential Plot,3329999,1998 ,New
1964,Residential Plot,4170000,2502 ,New
1965,Residential Plot,2745000,1647 ,New
1966,Residential Plot,2745000,1647 ,New
1967,Residential Plot,2475000,1485 ,New
1968,Residential Plot,2475000,1485 ,New
1969,Residential Plot,4154999,2493 ,New
1970,Residential Plot,4154999,2493 ,New
1971,Residential Plot,2430000,1458 ,New
1972,Residential Plot,2430000,1458 ,New
1973,Residential Plot,3750000,2250 ,New
1974,Residential Plot,3750000,2250 ,New
1975,Residential Plot,2205000,1323 ,New
1976,Residential Plot,2205000,1323 ,New
1977,2 ,6600000,950 ,Ready to move
